gouqi 枸杞
gouqizi 枸杞子
gouteng 钩藤
goutengtang 钩藤汤
goutengyin 钩藤饮
guadi 瓜蒂
guadisan 瓜蒂散
gualou 瓜蒌
gualoupi 瓜蒌皮
gualousan 瓜蒌散
gualouxiebaibaijiutang 瓜蒌薤白白酒汤
gualouxiebaibanxiatang 瓜蒌薤白半夏汤
gualouzhishitang 瓜蒌枳实汤
gualouzi 瓜蒌子
guanbaifu 关白附
guanchong 关冲
guangcigu 光慈姑
guangfangji 广防己
guangfangyi 广防已
guanghuoxiang 广藿香
guangjinqiancao 广金钱草
guangming 光明
guangzao 广枣
guangzhigou 光枝勾
guanjietong 关节痛
guanmen 关门
guanmutong 关木通
guanxinsuhewan 冠心苏合丸
guanyuan 关元
guanyuanyu 关元俞
guazijin 瓜子金
gubengzhidai 固崩止带
gubenzhibengtang 固本止崩汤
gubi 骨痹
gubiaozhihan 固表止汗
guchongtang 固冲汤
guiban 龟板
guifudihuangwan 桂附地黄丸
guifulizhongwan 桂附理中丸
guijia 龟甲
guijiajiao 龟甲胶
guijianyu 鬼箭羽
guilai 归来
guilengfulingwan 桂棱茯苓丸
guilingganluyin 桂苓甘露饮
guiluerxianjiao 鬼鹿二仙胶 龟鹿二仙胶
guiluerxiantang 龟鹿二仙汤
guipitang 归脾汤
guishenwan 归肾丸
guiyuan 桂圆
guizhi 桂枝
guizhiermahuangyitang 桂枝二麻黄一汤
guizhieryuebiyitang 桂枝二越婢一汤
guizhifulingwan 桂枝茯苓丸
guizhifuzitang 桂枝附子汤
guizhigancaolonggumulitang 桂枝甘草龙骨牡蛎汤
guizhigancaotang 桂枝甘草汤
guizhijiafuzitang 桂枝加附子汤
guizhijiagegentang 桂枝加葛根汤
guizhijiaguitang 桂枝加桂汤
guizhijiahoupuxingzitang 桂枝加厚朴杏子汤
guizhijialonggumulitang 桂枝加龙骨牡蛎汤
guizhijiashaoyaotang 桂枝加芍药汤
guizhimahuanggebantang 桂枝麻黄各半汤
guizhiquguijiafulingbaizhutang 桂枝去桂加茯苓白术汤
guizhiqushaoyaojiafuzitang 桂枝去芍药加附子汤
guizhiqushaoyaotang 桂枝去芍药汤
guizhirenshentang 桂枝人参汤
guizhishaoyaozhimutang 桂枝芍药知母汤
guizhitang 桂枝汤
guji 痼疾
gujingcao 谷精草
gujingwan 固精丸 固经丸
guntanwan 滚痰丸
guoganglong 过岗龙
guoqiyin 过期饮
guowo 腘窝
guseji 固涩剂
gushanlong 古山龙
gushi 骨蚀
gusuibu 骨碎补
guya 谷芽
guyinjian 固阴煎
guzhang 鼓胀
haiercha 孩儿茶
haifengteng 海风藤
haifushi 海浮石
haigeke 海蛤壳
haigoushen 海狗肾
haijinsha 海金沙 海金砂
hailong 海龙
haima 海马
